Province,District,Local Municipality,Name,Longitude,Latitude,ContactPerson,Address,OrgUnitOwnership
Eastern Cape,ec Alfred Nzo District Municipality,ec Matatiele Local Municipality,ec Matatiele Correctional Centre,28.8059,-30.3369,,,Gov DCS
Eastern Cape,ec Alfred Nzo District Municipality,ec Mbizana Local Municipality,ec Bizana Correctional Centre,29.84993,-30.8563,,,Gov DCS
Eastern Cape,ec Alfred Nzo District Municipality,ec Ntabankulu Local Municipality,ec Tabankulu Correctional Centre,29.2988,-30.9582,,,Gov DCS
Eastern Cape,ec Alfred Nzo District Municipality,ec Umzimvubu Local Municipality,ec Mount Ayliff Correctional Centre,29.370144,-30.8122,,,Gov DCS
Eastern Cape,ec Alfred Nzo District Municipality,ec Umzimvubu Local Municipality,ec Mount Frere Correctional Centre,29.00848,-30.9023,,,Gov DCS
Eastern Cape,ec Amathole District Municipality,ec Amahlathi Local Municipality,ec Stutterheim Correctional Centre,27.59074,-32.4482,,,Gov DCS
Eastern Cape,ec Amathole District Municipality,ec Mbhashe Local Municipality,ec Idutywa Correctional Centre,28.26833,-32.0845,,,Gov DCS
Eastern Cape,ec Amathole District Municipality,ec Mbhashe Local Municipality,ec Willowvale Correctional Centre,28.519579,-32.27,,,Gov DCS
Eastern Cape,ec Amathole District Municipality,ec Mnquma Local Municipality,ec Butterworth Correctional Centre,28.02771,-32.3791,,,Gov DCS
Eastern Cape,ec Amathole District Municipality,ec Mnquma Local Municipality,ec Nqamakwe Correctional Centre,27.95532,-32.2051,,,Gov DCS
Eastern Cape,ec Amathole District Municipality,ec Raymond Mhlaba Local Municipality,ec Fort Beaufort Correctional Centre,26.64359,-32.7656,,,Gov DCS
Eastern Cape,ec Amathole District Municipality,ec Raymond Mhlaba Local Municipality,ec Middledrift Correctional Centre,26.9865,-32.8162,,,Gov DCS
Eastern Cape,ec Buffalo City Metropolitan Municipality,ec Buffalo City Health sub-District,ec East London Maximum Correctional Centre,27.88443,-32.986,,,Gov DCS
Eastern Cape,ec Buffalo City Metropolitan Municipality,ec Buffalo City Health sub-District,ec East London Medium B Correctional Centre,27.88468,-32.9857,,,Gov DCS
Eastern Cape,ec Buffalo City Metropolitan Municipality,ec Buffalo City Health sub-District,ec East London Medium C Correctional Centre,27.88443,-32.9855,,,Gov DCS
Eastern Cape,ec Buffalo City Metropolitan Municipality,ec Buffalo City Health sub-District,ec King William's Town Correctional Centre,27.39749,-32.8295,,,Gov DCS
Eastern Cape,ec Buffalo City Metropolitan Municipality,ec Buffalo City Health sub-District,ec Mdantsane Correctional Centre,27.70925,-32.9585,,,Gov DCS
Eastern Cape,ec Chris Hani District Municipality,ec Emalahleni Local Municipality,ec Dordrecht Correctional Centre,27.04022,-31.3793,,,Gov DCS
Eastern Cape,ec Chris Hani District Municipality,ec Emalahleni Local Municipality,ec Lady Frere Correctional Centre,27.23333,-31.7017,,,Gov DCS
Eastern Cape,ec Chris Hani District Municipality,ec Engcobo Local Municipality,ec Ngcobo Correctional Centre,27.994775,-31.6734,,,Gov DCS
Eastern Cape,ec Chris Hani District Municipality,ec Enoch Mgijima Local Municipality,ec Queenstown Correctional Centre,26.88082,-31.8931,,,Gov DCS
Eastern Cape,ec Chris Hani District Municipality,ec Enoch Mgijima Local Municipality,ec Sada Correctional Centre,26.81442,-32.1987,,,Gov DCS
Eastern Cape,ec Chris Hani District Municipality,ec Intsika Yethu Local Municipality,ec Cofimvaba Correctional Centre,27.74881,-31.8205,,,Gov DCS
Eastern Cape,ec Chris Hani District Municipality,ec Inxuba Yethemba Local Municipality,ec Cradock Correctional Centre,25.64945,-32.1479,,,Gov DCS
Eastern Cape,ec Chris Hani District Municipality,ec Inxuba Yethemba Local Municipality,ec Middelburg Correctional Centre,25.00004,-31.497,,,Gov DCS
Eastern Cape,ec Chris Hani District Municipality,ec Sakhisizwe Local Municipality,ec Elliotdale Correctional Centre,28.6834,-31.9649,,,Gov DCS
Eastern Cape,ec Joe Gqabi District Municipality,ec Elundini Local Municipality,ec Mount Fletcher Correctional Centre,28.50273,-30.6925,,,Gov DCS
Eastern Cape,ec Joe Gqabi District Municipality,ec Senqu Local Municipality,ec Barkly East Correctional Centre,27.59421,-30.9729,,,Gov DCS
Eastern Cape,ec Joe Gqabi District Municipality,ec Senqu Local Municipality,ec Sterkspruit Correctional Centre,27.35213,-30.4542,,,Gov DCS
Eastern Cape,ec Joe Gqabi District Municipality,ec Walter Sisulu Local Municipality,ec Burgersdorp Correctional Centre,26.34154,-30.9737,,,Gov DCS
Eastern Cape,ec Nelson Mandela Bay Municipality,ec Nelson Mandela B Health sub-District,ec St Albans Maximum Correctional Centre,25.61778,-33.9936,,,Gov DCS
Eastern Cape,ec Nelson Mandela Bay Municipality,ec Nelson Mandela B Health sub-District,ec St Albans Medium A Correctional Centre,25.61778,-33.9931,,,Gov DCS
Eastern Cape,ec Nelson Mandela Bay Municipality,ec Nelson Mandela B Health sub-District,ec St Albans Medium B Correctional Centre,25.61778,-33.9933,,,Gov DCS
Eastern Cape,ec Nelson Mandela Bay Municipality,ec Nelson Mandela C Health sub-District,ec Port Elizabeth Correctional Centre,25.57037,-33.9081,,,Gov DCS
Eastern Cape,ec Oliver Tambo District Municipality,ec Ingquza Hill Local Municipality,ec Flagstaff Correctional Centre,29.49736,-31.0743,,,Gov DCS
Eastern Cape,ec Oliver Tambo District Municipality,ec Ingquza Hill Local Municipality,ec Lusikisiki Correctional Centre,29.5702,-31.3652,,,Gov DCS
Eastern Cape,ec Oliver Tambo District Municipality,ec King Sabata Dalindyebo Local Municipality,ec Mqanduli Correctional Centre,28.75948,-31.8075,,,Gov DCS
Eastern Cape,ec Oliver Tambo District Municipality,ec King Sabata Dalindyebo Local Municipality,ec Mthatha Correctional Centre Placeholder,28.78639,-31.5871,,,Gov DCS
Eastern Cape,ec Oliver Tambo District Municipality,ec King Sabata Dalindyebo Local Municipality,ec Mthatha Maximum Correctional Centre,28.78639,-31.5871,,,Gov DCS
Eastern Cape,ec Oliver Tambo District Municipality,ec King Sabata Dalindyebo Local Municipality,ec Mthatha Medium Correctional Centre,28.78639,-31.5873,,,Gov DCS
Eastern Cape,ec Oliver Tambo District Municipality,ec Nyandeni Local Municipality,ec Ngqeleni Correctional Centre,28.84132,-31.6243,,,Gov DCS
Eastern Cape,ec Sarah Baartman District Municipality,ec Blue Crane Route Local Municipality,ec Somerset East Correctional Centre,25.57317,-32.7205,,,Gov DCS
Eastern Cape,ec Sarah Baartman District Municipality,ec Dr Beyers Naud������ Local Municipality,ec Graaff-Reinet Correctional Centre,24.57009,-32.2485,,,Gov DCS
Eastern Cape,ec Sarah Baartman District Municipality,ec Dr Beyers Naud������ Local Municipality,ec Jansenville Correctional Centre,24.65477,-32.9426,,,Gov DCS
Eastern Cape,ec Sarah Baartman District Municipality,ec Kouga Local Municipality,ec Patensie Correctional Centre,24.81081,-33.7527,,,Gov DCS
Eastern Cape,ec Sarah Baartman District Municipality,ec Makana Local Municipality,ec Grahamstown Correctional Centre,26.55298,-33.3179,,,Gov DCS
Eastern Cape,ec Sarah Baartman District Municipality,ec Sundays River Valley Local Municipality,ec Kirkwood Correctional Centre,25.44372,-33.3951,,,Gov DCS
Free State,fs Fezile Dabi District Municipality,fs Mafube Local Municipality,fs Frankfort Correctional Centre,28.51556,-27.2756,,,Gov DCS
Free State,fs Fezile Dabi District Municipality,fs Metsimaholo Local Municipality,fs Groenpunt Maximum Correctional Centre,27.95727,-26.6787,,,Gov DCS
Free State,fs Fezile Dabi District Municipality,fs Metsimaholo Local Municipality,fs Groenpunt Medium Correctional Centre,27.95727,-26.6787,,,Gov DCS
Free State,fs Fezile Dabi District Municipality,fs Metsimaholo Local Municipality,fs Groenpunt Youth Correctional Centre,27.95727,-26.6787,,,Gov DCS
Free State,fs Fezile Dabi District Municipality,fs Metsimaholo Local Municipality,fs Sasolburg Correctional Centre,27.83604,-26.8278,,,Gov DCS
Free State,fs Fezile Dabi District Municipality,fs Moqhaka Local Municipality,fs Bizzah Makhate A Correctional Centre,27.21443,-27.6559,,,Gov DCS
Free State,fs Fezile Dabi District Municipality,fs Moqhaka Local Municipality,fs Bizzah Makhate B Correctional Centre,27.21443,-27.6559,,,Gov DCS
Free State,fs Fezile Dabi District Municipality,fs Moqhaka Local Municipality,fs Bizzah Makhate C Correctional Centre,27.21468,-27.6557,,,Gov DCS
Free State,fs Fezile Dabi District Municipality,fs Moqhaka Local Municipality,fs Bizzah Makhate D Correctional Centre,27.21468,-27.6559,,,Gov DCS
Free State,fs Fezile Dabi District Municipality,fs Ngwathe Local Municipality,fs Heilbron Correctional Centre,27.97833,-27.2806,,,Gov DCS
Free State,fs Fezile Dabi District Municipality,fs Ngwathe Local Municipality,fs Parys Correctional Centre,27.48204,-26.9065,,,Gov DCS
Free State,fs Lejweleputswa District Municipality,fs Masilonyana Local Municipality,fs Brandfort Correctional Centre,26.45528,-28.7001,,,Gov DCS
Free State,fs Lejweleputswa District Municipality,fs Masilonyana Local Municipality,fs Winburg Correctional Centre,27.01251,-28.5141,,,Gov DCS
Free State,fs Lejweleputswa District Municipality,fs Matjhabeng Local Municipality,fs Hennenman Correctional Centre,27.02226,-27.9819,,,Gov DCS
Free State,fs Lejweleputswa District Municipality,fs Matjhabeng Local Municipality,fs Odendaalsrus Correctional Centre,26.69223,-27.8685,,,Gov DCS
Free State,fs Lejweleputswa District Municipality,fs Matjhabeng Local Municipality,fs Ventersburg Correctional Centre,27.13386,-28.0837,,,Gov DCS
Free State,fs Lejweleputswa District Municipality,fs Matjhabeng Local Municipality,fs Virginia Correctional Centre,26.86687,-28.0905,,,Gov DCS
Free State,fs Lejweleputswa District Municipality,fs Tokologo Local Municipality,fs Boshof Correctional Centre,25.23862,-28.5424,,,Gov DCS
Free State,fs Lejweleputswa District Municipality,fs Tswelopele Local Municipality,fs Hoopstad Correctional Centre,25.90759,-27.8336,,,Gov DCS
Free State,fs Mangaung Metropolitan Municipality,fs Bloemfontein Health sub-District,fs Grootvlei Medium A Correctional Centre,26.23794,-29.1561,,,Gov DCS
Free State,fs Mangaung Metropolitan Municipality,fs Bloemfontein Health sub-District,fs Grootvlei Medium B Correctional Centre,26.22801,-29.1641,,,Gov DCS
Free State,fs Mangaung Metropolitan Municipality,fs Bloemfontein Health sub-District,fs Mangaung Correctional Centre,26.2398,-29.1682,,,Gov DCS
Free State,fs Mangaung Metropolitan Municipality,fs Naledi Health sub-District,fs Wepener Correctional Centre,27.03322,-29.7264,,,Gov DCS
